"","p10","start.date","tmin","tmax","tave","precip","humidity","sunshine","wind_vel","wind_dir","max_gust","max_gust_dir"
"55",55,1987-06-25 07:00:00,23.58,32.03,27.1,0.6,83.1,6.51,2.88888888888889,"E ",NA,NA
"56",56,1987-07-05 07:00:00,22.82,31.81,26.8,4.3,81.6,7.29,3.1,"E ",NA,NA
"57",57,1987-07-15 07:00:00,23.09,32.34,27.01,2,82.9,7.22,3.5,"E ",NA,NA
"58",58,1987-07-25 07:00:00,23.1,32.38,27,1.4,82.3,7.5,3.2,"E ",NA,NA
"59",59,1987-08-04 07:00:00,23.18,31.3,26.73,18.875,82.3,4.57,3.88888888888889,"E ",NA,NA
"60",60,1987-08-14 07:00:00,22.99,31.49,26.61,32.4,81.7,5.88,3.8,"E ",NA,NA
"61",61,1987-08-24 07:00:00,23.32,31.68,26.91,37.4,84.5,6.71,2.66666666666667,"E ",NA,NA
"62",62,1987-09-03 07:00:00,22.54,32.2,26.63,0,82.4,6.86,4.2,"E ",NA,NA
"63",63,1987-09-13 07:00:00,23.12,31.95,26.58,53.4,84,3.96,3.2,"E ",NA,NA
"64",64,1987-09-23 07:00:00,23.66,31.81,26.73,35.8,83.4,5.54,2.77777777777778,"E ",NA,NA
"65",65,1987-10-03 07:00:00,23.74,31.62,26.8,116.1,86.3,4.64,2,"N ",NA,NA
"66",66,1987-10-13 07:00:00,23.72,31.34,26.99,2.75,85.6,3.69,2.5,"N ",NA,NA
"67",67,1987-10-23 07:00:00,24.12,31.18,26.84,200.1,87.6,4.19,1.44444444444444,"N ",NA,NA
"68",68,1987-11-02 07:00:00,24.04,30.76,26.64,340.7,88.1,4.53,NA,"N ",NA,NA
"69",69,1987-11-12 07:00:00,23.98,30.97,27,77.6,85.5,4.97,1.55555555555556,"N ",NA,NA
"70",70,1987-11-22 07:00:00,24.22,31.54,27.2,121.777777777778,86.5,5.82,1.66666666666667,"N ",NA,NA
"71",71,1987-12-02 07:00:00,24.5,30.43,26.78,287,89.4,5.03,1.875,"N ",NA,NA
"72",72,1987-12-12 07:00:00,23.7,29.1,25.92,304.9,89.9,2.83,2.25,"N ",NA,NA
"73",73,1987-12-22 07:00:00,24.78,30.73,27.22,85.5,86.6,5.43,2.625,"N ",NA,NA
"74",74,1988-01-01 07:00:00,24.29,30.32,26.79,165,87.7,4.75,1.42857142857143,"N ",NA,NA
"75",75,1988-01-11 07:00:00,24.54,30.65,26.94,176,87.5,4.24,1.66666666666667,"N ",NA,NA
"76",76,1988-01-21 07:00:00,23.99,30.13,26.51,78.4444444444444,89,4.5,1.5,"N ",NA,NA
"77",77,1988-01-31 07:00:00,24.2,29.75,26.6,77,88,3.5,2.14285714285714,"N ",NA,NA
"78",78,1988-02-10 07:00:00,25.42,30.67,27.65,27.7,83.3,6.67,2.5,"NW",NA,NA
"79",79,1988-02-20 07:00:00,24.44,30.99,27.28,83.8,86.7,5.01,2,"N ",NA,NA
"80",80,1988-03-01 07:00:00,24.24,30.33,26.8,209.222222222222,87.7,3.74,1.57142857142857,"N ",NA,NA
"81",81,1988-03-11 07:00:00,24.7,31.4,27.53,110.9,86.3,4.76,1.83333333333333,"N ",NA,NA
"82",82,1988-03-21 07:00:00,24.46,30.28,27.11,96.8,85.1,4.54,3,"N ",NA,NA
"83",83,1988-03-31 07:00:00,24.36,30.96,26.88,49.5,89.1,4.75,NA,"N ",NA,NA
"84",84,1988-04-10 07:00:00,24.35,31.38,27.08,159.3,88.8,4.7,1.66666666666667,"N ",NA,NA
"85",85,1988-04-20 07:00:00,24.6,31.4,27.31,266.6,88.7,5.12,1.875,"N ",NA,NA
"86",86,1988-04-30 07:00:00,24.47,31.84,27.63,141.3,86.9,4.99,NA,"N ",NA,NA
"87",87,1988-05-10 07:00:00,24.69,30.67,27.35,70.2,88.4,3.87,NA,"N ",NA,NA
"88",88,1988-05-20 07:00:00,24.71,32.02,27.47,147.4,88.3,5.31,1.85714285714286,"N ",NA,NA
"89",89,1988-05-30 07:00:00,24.13,31.94,27.27,63.1,85.8,3.76,NA,"N ",NA,NA
