Nama Stasiun ,WMO ID,date,tmin,tmax,tave,humidity,precip,sunshine,wind_vel_mean,wind_dir,max_gust,max_gust_dir,precip_CP
Stasiun Meteorologi Rahadi Oesman,96615,18/09/1989,24.8,32.6,28.2,85,0,7.1,2,E ,9999,9999,0.2
Stasiun Meteorologi Rahadi Oesman,96615,19/09/1989,24.2,31.6,25.9,91,43.4,4.8,2,N ,9999,9999,35
Stasiun Meteorologi Rahadi Oesman,96615,20/09/1989,23.2,30.4,25.7,92,7.5,4.1,1,N ,9999,9999,27
Stasiun Meteorologi Rahadi Oesman,96615,21/09/1989,22.2,31.6,26.4,85,1.5,7.9,2,N ,9999,9999,0.5
Stasiun Meteorologi Rahadi Oesman,96615,22/09/1989,23.2,30.4,25.6,93,35,2.8,3,N ,9999,9999,23.1
Stasiun Meteorologi Rahadi Oesman,96615,23/09/1989,23.2,30.4,25.7,90,50.7,3.8,2,N ,9999,9999,14.8
Stasiun Meteorologi Rahadi Oesman,96615,24/09/1989,22.8,29.8,24.9,93,38.6,4.1,9999,N ,9999,9999,9.1
Stasiun Meteorologi Rahadi Oesman,96615,25/09/1989,23.4,29.8,25.8,90,6.5,2.5,4,N ,9999,9999,31.4
Stasiun Meteorologi Rahadi Oesman,96615,26/09/1989,23.2,30.4,26.6,88,19.5,6.2,2,N ,9999,9999,5.5
Stasiun Meteorologi Rahadi Oesman,96615,27/09/1989,23.8,30.2,26.2,90,6.9,8,9999,N ,9999,9999,13.2
Stasiun Meteorologi Rahadi Oesman,96615,28/09/1989,23.6,30.4,26.4,88,13,7,9999,N ,9999,9999,19.7
Stasiun Meteorologi Rahadi Oesman,96615,29/09/1989,23.2,32,26.8,86,8888,3.1,2,N ,9999,9999,35.8
Stasiun Meteorologi Rahadi Oesman,96615,30/09/1989,23.8,32.2,27.1,86,10.5,5.8,3,E ,9999,9999,28.6
Stasiun Meteorologi Rahadi Oesman,96615,1/10/1989,23.2,27.2,25.1,94,5.8,7.4,9999,N ,9999,9999,31.1
Stasiun Meteorologi Rahadi Oesman,96615,2/10/1989,23.4,29.4,25.8,90,0.4,0.9,9999,N ,9999,9999,23.8
Stasiun Meteorologi Rahadi Oesman,96615,3/10/1989,23.4,32.6,26.6,87,21.2,4.5,1,N ,9999,9999,17.5
Stasiun Meteorologi Rahadi Oesman,96615,4/10/1989,23.6,30.4,26.3,90,12.5,2.3,2,N ,9999,9999,32.4
Stasiun Meteorologi Rahadi Oesman,96615,5/10/1989,23,30.9,26.1,88,8888,3.3,9999,N ,9999,9999,27.6
Stasiun Meteorologi Rahadi Oesman,96615,6/10/1989,23.4,32.2,28.8,88,22.6,6.6,2,E ,9999,9999,2.5
Stasiun Meteorologi Rahadi Oesman,96615,7/10/1989,23,29.6,25.9,85,8.8,3,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,8/10/1989,23.2,32.8,27.3,84,0,8,2,E ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,9/10/1989,23.4,32,27.1,84,8888,7.1,1,E ,9999,9999,9
Stasiun Meteorologi Rahadi Oesman,96615,10/10/1989,24.8,25.2,24.3,98,7.9,0,9999,N ,9999,9999,55.5
Stasiun Meteorologi Rahadi Oesman,96615,11/10/1989,22.6,31.2,26.2,84,0.2,6,9999,N ,9999,9999,2
Stasiun Meteorologi Rahadi Oesman,96615,12/10/1989,22.6,31.4,26.3,86,0,8,1,N ,9999,9999,7.1
Stasiun Meteorologi Rahadi Oesman,96615,13/10/1989,22.6,30.8,26.1,90,0,5.4,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,14/10/1989,23.4,32,26.3,90,8.1,4.9,9999,N ,9999,9999,0.3
Stasiun Meteorologi Rahadi Oesman,96615,15/10/1989,23.4,27.8,25.2,92,0.1,0,2,N ,9999,9999,47.8
Stasiun Meteorologi Rahadi Oesman,96615,16/10/1989,23.8,31.6,27.6,86,0,4.4,2,N ,9999,9999,4.3
Stasiun Meteorologi Rahadi Oesman,96615,17/10/1989,24.2,31.4,27.2,84,6.5,7.1,2,N ,9999,9999,12.6
Stasiun Meteorologi Rahadi Oesman,96615,18/10/1989,23.8,30.2,24.7,96,30.5,2.3,9999,N ,9999,9999,65.8
Stasiun Meteorologi Rahadi Oesman,96615,19/10/1989,23.8,32,26.2,91,63,5.1,2,N ,9999,9999,22.3
Stasiun Meteorologi Rahadi Oesman,96615,20/10/1989,23.2,31,27.1,85,8888,4.6,1,N ,9999,9999,5.8
Stasiun Meteorologi Rahadi Oesman,96615,21/10/1989,23.4,31.4,26.7,88,0,6.3,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,22/10/1989,23.6,30.8,27,86,0,7.3,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,23/10/1989,23.4,32.6,27.5,82,0.4,8,1,N ,9999,9999,0.8
Stasiun Meteorologi Rahadi Oesman,96615,24/10/1989,24.4,29.6,25.6,93,28.3,1.1,9999,N ,9999,9999,9.6
Stasiun Meteorologi Rahadi Oesman,96615,25/10/1989,23.6,30.8,26.7,85,1.6,5.8,9999,N ,9999,9999,30.6
Stasiun Meteorologi Rahadi Oesman,96615,26/10/1989,23.4,31.4,27.2,85,13.4,5.2,9999,N ,9999,9999,4.8
Stasiun Meteorologi Rahadi Oesman,96615,27/10/1989,23.8,30.2,25.1,90,32.4,3.4,2,N ,9999,9999,10.6
Stasiun Meteorologi Rahadi Oesman,96615,28/10/1989,23,29.2,24.8,94,38.1,1,9999,N ,9999,9999,21.5
Stasiun Meteorologi Rahadi Oesman,96615,29/10/1989,23.8,28.4,26,89,0.6,0.1,1,N ,9999,9999,73.7
Stasiun Meteorologi Rahadi Oesman,96615,30/10/1989,23.8,31,26.7,88,57.4,6.9,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,31/10/1989,23.6,30,26.6,88,0.8,3.2,9999,N ,9999,9999,22
Stasiun Meteorologi Rahadi Oesman,96615,1/11/1989,24.2,29.8,27.1,88,1,2.9,9999,N ,9999,9999,18
Stasiun Meteorologi Rahadi Oesman,96615,2/11/1989,23.8,31.4,26.8,87,7.4,7,9999,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,3/11/1989,23.6,30.8,26.8,86,0.9,2.6,1,N ,9999,9999,23.4
Stasiun Meteorologi Rahadi Oesman,96615,4/11/1989,24.4,31.2,28.1,86,16,7.4,1,N ,9999,9999,16
Stasiun Meteorologi Rahadi Oesman,96615,5/11/1989,23.4,27.4,25,92,5,0,9999,N ,9999,9999,28
Stasiun Meteorologi Rahadi Oesman,96615,6/11/1989,23.8,30.6,26.9,89,17.5,5.4,9999,N ,9999,9999,7.4
Stasiun Meteorologi Rahadi Oesman,96615,7/11/1989,23.2,31.4,27,86,0.3,7,9999,N ,9999,9999,9999
Stasiun Meteorologi Rahadi Oesman,96615,8/11/1989,23.6,30.6,27,85,1,6.2,1,N ,9999,9999,9.8
Stasiun Meteorologi Rahadi Oesman,96615,9/11/1989,23.6,30.4,25.6,93,16,2.3,1,N ,9999,9999,7.4
Stasiun Meteorologi Rahadi Oesman,96615,10/11/1989,24,31,25.4,87,0.8,6.6,9999,N ,9999,9999,2.1
Stasiun Meteorologi Rahadi Oesman,96615,11/11/1989,24.4,31.7,27.7,86,0,6.8,1,N ,9999,9999,0
Stasiun Meteorologi Rahadi Oesman,96615,12/11/1989,24.4,31.6,27.5,87,50,6,9999,N ,9999,9999,17.9
Stasiun Meteorologi Rahadi Oesman,96615,13/11/1989,24,28.8,26.1,89,3,0,9999,N ,9999,9999,6.6
