"","YYYYMMDD","HHMM","sat","lat","lon","T21","T31","sample","FRP","conf","type","year","CLUSTER_ID","coords.x1","coords.x2","freq","Duplicate"
"112",2002-08-17,"622","A",-1.69,110.039,316,296.4,474,7.7,48,"0","2002",67262,393105.541268529,9813176.60786281,2,"Unique"
"6461",2015-07-13,"618","A",-1.69,110.039,325.1,300.6,625,14.1,73,"0","2015",67262,393105.541268529,9813176.60786281,2,"Unique"
"3482",2009-09-03,"639","A",-1.79,110.041,319.8,299.8,219,19.9,61,"0","2009",67343,393333.646032343,9802122.01751306,2,"Not Unique"
"3676",2009-09-07,"615","A",-1.79,110.041,319.3,302.8,794,6.9,57,"0","2009",67343,393333.646032343,9802122.01751306,2,"Not Unique"
"1151",2004-08-20,"634","A",-1.684,110.043,316.4,300.4,219,14.1,43,"0","2004",67434,393550.186870543,9813840.10880218,2,"Not Unique"
"1357",2004-09-02,"309","T",-1.684,110.043,321,303.3,721,10.1,50,"0","2004",67434,393550.186870543,9813840.10880218,2,"Not Unique"
"3323",2009-08-24,"304","T",-1.736,110.045,314.7,298.5,550,7,57,"0","2009",67506,393775.532684446,9808091.78226457,2,"Unique"
"7776",2015-10-21,"258","T",-1.736,110.045,323.4,307.1,398,11.9,34,"0","2015",67506,393775.532684446,9808091.78226457,2,"Unique"
"1451",2005-07-28,"555","A",-1.782,110.048,323.5,294.3,1074,29.5,79,"0","2005",67641,394111.846805726,9803006.79780468,2,"Unique"
"2094",2006-09-03,"547","A",-1.782,110.048,314.6,296.6,1245,22.6,23,"0","2006",67641,394111.846805726,9803006.79780468,2,"Unique"
"4142",2009-09-30,"621","A",-1.677,110.051,351.3,301.9,621,51.9,96,"0","2009",67776,394439.755693432,9814614.37013494,2,"Unique"
"6648",2015-08-22,"1455","T",-1.677,110.051,311.2,293.8,1068,16.1,82,"0","2015",67776,394439.755693432,9814614.37013494,2,"Unique"
"5581",2014-09-07,"304","T",-1.654,110.054,328.9,301,552,19.3,82,"0","2014",67922,394772.265389922,9817157.10116681,2,"Unique"
"6764",2015-09-01,"311","T",-1.654,110.054,318.9,303.3,723,7.5,66,"0","2015",67922,394772.265389922,9817157.10116681,2,"Unique"
"1066",2004-08-17,"603","A",-1.781,110.056,321.5,298.3,948,15.1,66,"0","2004",68001,395001.687842897,9803117.80228362,2,"Unique"
"1460",2005-08-27,"608","A",-1.781,110.056,311.6,293.5,790,5.5,47,"0","2005",68001,395001.687842897,9803117.80228362,2,"Unique"
"958",2003-09-07,"315","T",-1.879,110.057,333.4,301.3,875,29.1,86,"0","2003",68045,395118.619459176,9792284.29303883,2,"Unique"
"5458",2014-03-09,"636","A",-1.879,110.057,330.8,297.4,225,45.5,84,"0","2014",68045,395118.619459176,9792284.29303883,2,"Unique"
"78",2002-08-14,"551","A",-1.569,110.057,338.6,287.4,1174,102.9,68,"0","2002",68059,395101.649365556,9826553.69941696,2,"Unique"
"585",2002-09-11,"615","A",-1.569,110.057,322.3,295.1,633,11.9,62,"0","2002",68059,395101.649365556,9826553.69941696,2,"Unique"
"6763",2015-09-01,"311","T",-1.627,110.058,322.9,302.6,723,10,43,"0","2015",68106,395215.838357497,9820142.06412173,3,"Not Unique"
"6806",2015-09-01,"1531","T",-1.627,110.058,303.6,293.5,215,7.6,26,"0","2015",68106,395215.838357497,9820142.06412173,3,"Not Unique"
"7402",2015-09-15,"618","A",-1.627,110.058,355,280.3,627,68.5,98,"0","2015",68106,395215.838357497,9820142.06412173,3,"Not Unique"
"108",2002-08-17,"622","A",-1.881,110.059,327,300.5,476,19.5,67,"0","2002",68146,395341.200661222,9792063.31979377,3,"Unique"
"1506",2006-03-30,"615","A",-1.881,110.059,339.4,302.4,627,32.9,89,"0","2006",68146,395341.200661222,9792063.31979377,3,"Unique"
"2102",2006-09-04,"630","A",-1.881,110.059,320.7,290.7,325,14.2,48,"0","2006",68146,395341.200661222,9792063.31979377,3,"Unique"
"4968",2012-09-26,"553","A",-1.839,110.065,320,294.8,1176,33.8,69,"0","2012",68483,396006.125895185,9796706.62623406,2,"Unique"
"5509",2014-08-06,"304","T",-1.839,110.065,318.3,295.8,551,9.7,51,"0","2014",68483,396006.125895185,9796706.62623406,2,"Unique"
"80",2002-08-14,"551","A",-1.538,110.065,305.8,282.2,1173,9.9,24,"0","2002",68501,395990.12465552,9829981.02580052,2,"Unique"
"1421",2004-09-07,"622","A",-1.538,110.065,328.7,302.4,463,21.1,81,"0","2004",68501,395990.12465552,9829981.02580052,2,"Unique"
"3165",2009-08-02,"639","A",-1.831,110.066,319,289.8,221,29.9,53,"0","2009",68562,396116.897518469,9797591.05496904,2,"Unique"
"4401",2011-08-26,"623","A",-1.831,110.066,342.1,306.5,471,42.3,91,"0","2011",68562,396116.897518469,9797591.05496904,2,"Unique"
"721",2002-09-19,"1455","T",-1.548,110.066,302.9,292.4,1065,5.3,18,"0","2002",68572,396101.860361176,9828875.61461437,2,"Unique"
"5808",2014-09-17,"636","A",-1.548,110.066,319,298.5,215,19.9,54,"0","2014",68572,396101.860361176,9828875.61461437,2,"Unique"
"4026",2009-09-28,"633","A",-1.628,110.068,340.1,305,322,50.2,69,"0","2009",68686,396328.346986347,9820032.03469814,2,"Unique"
"6310",2014-10-07,"612","A",-1.628,110.068,327.2,299.6,790,17.2,80,"0","2014",68686,396328.346986347,9820032.03469814,2,"Unique"
"4024",2009-09-28,"633","A",-1.638,110.069,340.9,304.5,322,51.2,49,"0","2009",68749,396440.10444543,9818926.62620016,2,"Unique"
"4819",2012-08-20,"1757","A",-1.638,110.069,304.1,289.5,276,10.1,59,"0","2012",68749,396440.10444543,9818926.62620016,2,"Unique"
"637",2002-09-15,"551","A",-1.546,110.07,331.7,296.9,1176,65.8,81,"0","2002",68808,396546.762753106,9829096.90191164,2,"Unique"
"3234",2009-08-06,"615","A",-1.546,110.07,316.7,301,793,6.5,34,"0","2009",68808,396546.762753106,9829096.90191164,2,"Unique"
"6531",2015-08-16,"605","A",-1.771,110.071,322.8,298.5,947,15.3,75,"0","2015",68857,396669.685779734,9804224.11083141,2,"Unique"
"7062",2015-09-08,"611","A",-1.771,110.071,335.9,303.9,797,25.9,84,"0","2015",68857,396669.685779734,9804224.11083141,2,"Unique"
"3933",2009-09-27,"251","T",-1.656,110.071,319.9,301.5,275,15.7,34,"0","2009",68863,396663.52168207,9816936.90250643,2,"Not Unique"
"4074",2009-09-29,"1500","T",-1.656,110.071,303.9,293,946,4.4,34,"0","2009",68863,396663.52168207,9816936.90250643,2,"Not Unique"
"508",2002-09-11,"323","T",-1.533,110.071,326.7,300.1,1024,24.6,52,"0","2002",68867,396657.386529626,9830534.04637166,2,"Unique"
"1275",2004-08-24,"610","A",-1.533,110.071,315.2,301.6,788,5.9,57,"0","2004",68867,396657.386529626,9830534.04637166,2,"Unique"
"63",2002-07-27,"604","A",-1.877,110.072,318.4,298.3,948,12.3,55,"0","2002",68921,396786.964487337,9792506.27870538,2,"Unique"
"5457",2014-03-09,"636","A",-1.877,110.072,329.3,297.4,224,41.5,82,"0","2014",68921,396786.964487337,9792506.27870538,2,"Unique"
"4943",2012-09-23,"1447","T",-1.791,110.072,301.3,287.5,1173,9.7,40,"0","2012",68923,396782.036057746,9802013.24533863,2,"Not Unique"
"4954",2012-09-24,"605","A",-1.791,110.072,322.7,292,951,14.9,41,"0","2012",68923,396782.036057746,9802013.24533863,2,"Not Unique"
"487",2002-09-10,"1501","T",-1.538,110.075,326.3,293.3,936,30,100,"0","2002",69110,397102.627429517,9829981.51051041,2,"Unique"
"4981",2012-09-27,"635","A",-1.538,110.075,312.6,279.5,218,17.4,53,"0","2012",69110,397102.627429517,9829981.51051041,2,"Unique"
"2944",2008-08-03,"612","A",-1.748,110.076,323.4,298.1,790,14.7,66,"0","2008",69163,397224.612591041,9806766.94473841,2,"Unique"
"7280",2015-09-11,"642","A",-1.748,110.076,320.4,292.5,135,33.2,62,"0","2015",69163,397224.612591041,9806766.94473841,2,"Unique"
"1992",2006-08-27,"1505","T",-1.741,110.076,302.3,291,793,3.7,48,"0","2006",69164,397224.232655743,9807540.76598736,2,"Unique"
"4956",2012-09-24,"605","A",-1.741,110.076,338.5,303.6,950,39.5,81,"0","2012",69164,397224.232655743,9807540.76598736,2,"Unique"
"100",2002-08-15,"634","A",-1.732,110.077,313.8,297.2,220,15.3,49,"0","2002",69238,397334.985793733,9808535.73313563,2,"Unique"
"4679",2012-07-29,"316","T",-1.732,110.077,372,300.5,881,136.9,100,"0","2012",69238,397334.985793733,9808535.73313563,2,"Unique"
"4397",2011-08-26,"623","A",-1.839,110.078,345.1,304.1,470,48.1,66,"0","2011",69290,397452.156310368,9796707.37830711,2,"Unique"
"5631",2014-09-10,"335","T",-1.839,110.078,321.2,298,1219,37.7,57,"0","2014",69290,397452.156310368,9796707.37830711,2,"Unique"
"220",2002-08-21,"557","A",-1.734,110.078,312.9,297.7,1082,9.2,47,"0","2002",69297,397446.332753081,9808314.69563916,2,"Not Unique"
"335",2002-09-01,"1507","T",-1.734,110.078,314.6,291.9,788,11.4,90,"0","2002",69297,397446.332753081,9808314.69563916,2,"Not Unique"
"670",2002-09-17,"1507","T",-1.547,110.078,307.6,294.5,780,5.6,57,"0","2002",69304,397436.808648945,9828986.74440166,2,"Unique"
"7621",2015-09-26,"1821","A",-1.547,110.078,360,297.1,877,97.7,100,"0","2015",69304,397436.808648945,9828986.74440166,2,"Unique"
"47",2001-08-29,"1513","TRUE",-1.731,110.079,317.8,293.6,778,13.3,96,"0","2001",69377,397557.410775827,9808646.38713644,2,"Unique"
"118",2002-08-19,"317","T",-1.731,110.079,313.9,300.4,892,7.3,29,"0","2002",69377,397557.410775827,9808646.38713644,2,"Unique"
"4713",2012-08-05,"618","A",-1.515,110.079,328.8,299.7,619,19.9,82,"0","2012",69383,397546.538807125,9832524.25091351,2,"Unique"
"7846",2015-10-21,"553","A",-1.515,110.079,324.1,299.5,1168,35.4,69,"0","2015",69383,397546.538807125,9832524.25091351,2,"Unique"
"6772",2015-09-01,"311","T",-1.769,110.08,327.4,304.2,729,17,80,"0","2015",69445,397670.710172632,9804445.70170343,2,"Not Unique"
"7061",2015-09-08,"611","A",-1.769,110.08,332.4,303,796,20.5,72,"0","2015",69445,397670.710172632,9804445.70170343,2,"Not Unique"
"45",2001-08-29,"1513","TRUE",-1.741,110.08,309.8,293.8,778,7,69,"0","2001",69449,397669.187908379,9807540.98354392,2,"Unique"
"2411",2006-10-06,"630","A",-1.741,110.08,318.7,300.4,319,13.2,58,"0","2006",69449,397669.187908379,9807540.98354392,2,"Unique"
"372",2002-09-02,"329","T",-1.739,110.082,315.9,294.5,1136,21.1,54,"0","2002",69578,397891.557776954,9807762.18336918,2,"Unique"
"6000",2014-09-25,"1512","T",-1.739,110.082,309.7,294.7,628,7.9,78,"0","2014",69578,397891.557776954,9807762.18336918,2,"Unique"
"308",2002-08-30,"551","A",-1.74,110.084,331.2,298,1176,65.5,86,"0","2002",69707,398114.088976742,9807651.74579527,2,"Not Unique"
"580",2002-09-11,"615","A",-1.74,110.084,327.3,299.1,634,18,63,"0","2002",69707,398114.088976742,9807651.74579527,2,"Not Unique"
"3932",2009-09-27,"251","T",-1.51,110.084,320.3,299.8,274,14.6,34,"0","2009",69716,398102.56103492,9833077.21366818,2,"Not Unique"
"3985",2009-09-27,"1812","A",-1.51,110.084,314.9,295.5,556,10.9,77,"0","2009",69716,398102.56103492,9833077.21366818,2,"Not Unique"
"297",2002-08-30,"1520","T",-1.729,110.085,311.9,286.5,459,11.8,84,"0","2002",69799,398224.739809906,9808867.80138302,2,"Unique"
"4850",2012-08-25,"257","T",-1.729,110.085,316.4,299.1,403,10.2,37,"0","2012",69799,398224.739809906,9808867.80138302,2,"Unique"
"3473",2009-09-03,"341","T",-1.728,110.085,310,276.3,1281,40.4,56,"0","2009",69800,398224.686555145,9808978.34697737,2,"Unique"
"4747",2012-08-14,"316","T",-1.728,110.085,317.6,305.5,880,10.3,33,"0","2012",69800,398224.686555145,9808978.34697737,2,"Unique"
"2873",2007-10-04,"611","A",-1.9,110.086,329.2,305,788,18.9,66,"0","2007",69845,398345.528148622,9789964.54632037,2,"Unique"
"3335",2009-08-27,"633","A",-1.9,110.086,321.3,298.6,328,11.5,60,"0","2009",69845,398345.528148622,9789964.54632037,2,"Unique"
"578",2002-09-11,"615","A",-1.749,110.086,326.5,298.4,634,16.7,31,"0","2002",69854,398337.049481683,9806656.94345003,2,"Unique"
"3202",2009-08-04,"627","A",-1.749,110.086,321.7,299.7,467,14.6,60,"0","2009",69854,398337.049481683,9806656.94345003,2,"Unique"
"474",2002-09-08,"253","T",-1.739,110.087,326.4,295.8,282,32.7,80,"0","2002",69918,398447.751412137,9807762.45308704,2,"Unique"
"2391",2006-10-05,"1809","A",-1.739,110.087,306.2,291.6,567,6.4,67,"0","2006",69918,398447.751412137,9807762.45308704,2,"Unique"
"1649",2006-08-14,"611","A",-1.897,110.088,331.8,299.5,787,18.2,59,"0","2006",69963,398567.810814628,9790296.300974,2,"Unique"
"5207",2013-09-22,"547","A",-1.897,110.088,317.8,299.1,1246,30.1,19,"0","2013",69963,398567.810814628,9790296.300974,2,"Unique"
"3710",2009-09-07,"615","A",-1.727,110.088,369.6,308.1,788,109.5,100,"0","2009",69977,398558.351426994,9809089.05293469,2,"Unique"
"4020",2009-09-28,"633","A",-1.727,110.088,318.1,294.1,322,12.5,25,"0","2009",69977,398558.351426994,9809089.05293469,2,"Unique"
"1552",2006-08-05,"322","T",-1.5,110.088,410.7,298.8,1021,489.3,100,"0","2006",69982,398547.103700914,9834182.85338496,2,"Unique"
"2733",2006-10-14,"1803","A",-1.5,110.088,302.7,292.4,408,4.3,25,"0","2006",69982,398547.103700914,9834182.85338496,2,"Unique"
"5834",2014-09-21,"612","A",-1.903,110.089,318.5,287.7,792,8.9,40,"0","2014",70018,398679.38942655,9789633.08550037,2,"Not Unique"
"6236",2014-10-05,"624","A",-1.903,110.089,320.5,276.8,465,15.3,56,"0","2014",70018,398679.38942655,9789633.08550037,2,"Not Unique"
"2958",2008-08-07,"548","A",-1.798,110.089,312,292.2,1245,26.8,63,"0","2008",70029,398673.429309378,9801240.37506264,2,"Unique"
"3313",2009-08-22,"316","T",-1.798,110.089,327.5,299.8,884,22.2,81,"0","2009",70029,398673.429309378,9801240.37506264,2,"Unique"
"44",2001-08-29,"1513","TRUE",-1.739,110.089,307.7,293.6,777,5.6,58,"0","2001",70037,398670.228648334,9807762.56056155,3,"Unique"
"659",2002-09-17,"247","T",-1.739,110.089,316,298.5,185,19.4,38,"0","2002",70037,398670.228648334,9807762.56056155,3,"Unique"
"2927",2008-07-23,"631","A",-1.739,110.089,315.9,298.3,325,12.6,69,"0","2008",70037,398670.228648334,9807762.56056155,3,"Unique"
"4590",2012-06-15,"1512","T",-1.789,110.09,307.1,295.3,632,6.5,70,"0","2012",70099,398784.169773635,9802235.34016754,2,"Unique"
"4942",2012-09-23,"1447","T",-1.789,110.09,301.7,287.4,1172,10.3,43,"0","2012",70099,398784.169773635,9802235.34016754,2,"Unique"
"2920",2008-06-25,"606","A",-1.395,110.09,313,297.1,934,6.5,27,"0","2008",70118,398764.94964767,9845790.18635763,2,"Unique"
"2951",2008-08-05,"600","A",-1.395,110.09,311.6,294.8,1064,8.6,43,"0","2008",70118,398764.94964767,9845790.18635763,2,"Unique"
"1417",2004-09-07,"622","A",-1.869,110.091,322.4,299.4,467,12.9,66,"0","2004",70161,398899.883784209,9793391.75312689,2,"Unique"
"3264",2009-08-08,"603","A",-1.869,110.091,323.1,298.1,1076,19.1,76,"0","2009",70161,398899.883784209,9793391.75312689,2,"Unique"
"447",2002-09-04,"609","A",-1.739,110.091,364.1,299.7,798,92.4,100,"0","2002",70169,398892.705760439,9807762.66780027,2,"Unique"
"3624",2009-09-07,"316","T",-1.739,110.091,324.6,300.5,884,18.3,67,"0","2009",70169,398892.705760439,9807762.66780027,2,"Unique"
"466",2002-09-06,"1819","A",-1.742,110.093,321,292.7,879,20.6,100,"0","2002",70301,399115.342214707,9807431.13871893,2,"Not Unique"
"469",2002-09-07,"348","T",-1.742,110.093,315.9,291.1,1331,76.7,65,"0","2002",70301,399115.342214707,9807431.13871893,2,"Not Unique"
"364",2002-09-01,"1801","A",-1.741,110.093,307.7,291.5,398,9,72,"0","2002",70302,399115.289028848,9807541.6840815,2,"Unique"
"3107",2009-07-30,"310","T",-1.741,110.093,312.3,295.7,720,8.2,58,"0","2009",70302,399115.289028848,9807541.6840815,2,"Unique"
"99",2002-08-15,"634","A",-1.73,110.093,332.7,297.8,219,61.6,86,"0","2002",70309,399114.705999484,9808757.68299424,2,"Unique"
"3623",2009-09-07,"316","T",-1.73,110.093,337.5,300.8,884,37.5,88,"0","2009",70309,399114.705999484,9808757.68299424,2,"Unique"
"1766",2006-08-16,"559","A",-1.887,110.094,343.2,307.4,1068,62.6,92,"0","2006",70370,399234.606740234,9791402.10661433,2,"Unique"
"3479",2009-09-03,"639","A",-1.887,110.094,344,301.1,217,88.7,92,"0","2009",70370,399234.606740234,9791402.10661433,2,"Unique"
"1817",2006-08-19,"334","T",-1.728,110.094,313.7,298.2,1219,21.4,33,"0","2006",70384,399225.839481192,9808978.82676639,2,"Unique"
"4690",2012-08-02,"251","T",-1.728,110.094,312.1,296.8,276,10.5,40,"0","2012",70384,399225.839481192,9808978.82676639,2,"Unique"
"577",2002-09-11,"615","A",-1.748,110.095,342.7,299.8,633,40,91,"0","2002",70444,399338.13777859,9806767.97383838,2,"Unique"
"7259",2015-09-10,"1821","A",-1.748,110.095,329.7,295.4,883,31.5,100,"0","2015",70444,399338.13777859,9806767.97383838,2,"Unique"
"408",2002-09-02,"622","A",-1.744,110.095,374,302.4,470,140.1,100,"0","2002",70445,399337.924956117,9807210.15506408,3,"Not Unique"
"422",2002-09-04,"317","T",-1.744,110.095,381.1,301.9,889,176,100,"0","2002",70445,399337.924956117,9807210.15506408,3,"Not Unique"
"5740",2014-09-14,"606","A",-1.744,110.095,348.7,305.2,942,60,94,"0","2014",70445,399337.924956117,9807210.15506408,3,"Unique"
"104",2002-08-17,"330","T",-1.736,110.095,311.9,291,1139,15.5,46,"0","2002",70448,399337.500773444,9808094.51746035,2,"Not Unique"
"310",2002-08-30,"551","A",-1.736,110.095,327.2,298.9,1175,53.3,83,"0","2002",70448,399337.500773444,9808094.51746035,2,"Not Unique"
"362",2002-09-01,"1801","A",-1.731,110.095,318,292.7,398,18.9,96,"0","2002",70450,399337.236649357,9808647.24392082,2,"Unique"
"1571",2006-08-07,"605","A",-1.731,110.095,316.3,298.1,937,9.6,42,"0","2006",70450,399337.236649357,9808647.24392082,2,"Unique"
"111",2002-08-17,"622","A",-1.73,110.095,332.6,302.2,469,28.3,85,"0","2002",70451,399337.183915932,9808757.78920949,2,"Unique"
"4748",2012-08-14,"316","T",-1.73,110.095,318.3,305.7,881,10.6,47,"0","2012",70451,399337.183915932,9808757.78920949,2,"Unique"
"2922",2008-07-06,"548","A",-1.389,110.095,309.3,291.1,1241,19.1,35,"0","2008",70456,399320.978312554,9846453.6705188,2,"Unique"
"4432",2011-08-27,"1453","T",-1.389,110.095,301.3,279.9,1068,8.2,17,"0","2011",70456,399320.978312554,9846453.6705188,2,"Unique"
"1131",2004-08-20,"340","T",-1.901,110.096,311.9,292.6,1284,30.2,42,"0","2004",70503,399457.872570515,9789854.58598102,2,"Unique"
"3262",2009-08-08,"603","A",-1.901,110.096,332.1,301.5,1076,38.4,80,"0","2009",70503,399457.872570515,9789854.58598102,2,"Unique"
"513",2002-09-11,"323","T",-1.749,110.096,325.9,298.2,1030,26.7,74,"0","2002",70516,399449.428859014,9806657.48213032,2,"Unique"
"3190",2009-08-04,"328","T",-1.749,110.096,313.8,296.8,1132,15.4,66,"0","2009",70516,399449.428859014,9806657.48213032,2,"Unique"
"296",2002-08-30,"1519","T",-1.737,110.096,302.1,285.2,458,5.1,46,"0","2002",70521,399448.792192872,9807984.02539876,3,"Not Unique"
"460",2002-09-05,"1737","A",-1.737,110.096,307.5,286.7,47,49.1,72,"0","2002",70521,399448.792192872,9807984.02539876,3,"Not Unique"
"500",2002-09-10,"1755","A",-1.737,110.096,304.2,290.9,272,9,48,"0","2002",70521,399448.792192872,9807984.02539876,3,"Not Unique"
"550",2002-09-11,"1544","T",-1.74,110.097,302.3,288.2,68,22.9,48,"0","2002",70586,399560.18924534,9807652.44286393,2,"Not Unique"
"630",2002-09-15,"551","A",-1.74,110.097,332.2,287.7,1177,69.6,75,"0","2002",70586,399560.18924534,9807652.44286393,2,"Not Unique"
"418",2002-09-04,"317","T",-1.735,110.097,335.1,302.9,889,32.3,78,"0","2002",70588,399559.925097262,9808205.16904135,2,"Unique"
"3534",2009-09-05,"627","A",-1.735,110.097,359,304.8,460,87,99,"0","2009",70588,399559.925097262,9808205.16904135,2,"Unique"
"3709",2009-09-07,"615","A",-1.726,110.098,353.4,303.2,787,61,94,"0","2009",70647,399670.690629,9809200.12886892,2,"Unique"
"5668",2014-09-11,"240","T",-1.726,110.098,323.6,294.5,106,59.2,76,"0","2014",70647,399670.690629,9809200.12886892,2,"Unique"
"4300",2011-08-12,"1833","A",-1.751,110.099,338.5,282.2,1134,90.8,100,"0","2011",70710,399783.248253731,9806436.55220074,2,"Unique"
"5076",2012-10-01,"611","A",-1.751,110.099,327.5,297.9,793,15.3,72,"0","2012",70710,399783.248253731,9806436.55220074,2,"Unique"
"6576",2015-08-19,"341","T",-1.39,110.099,312.3,293.9,1283,26.7,40,"0","2015",70724,399766.047589863,9846343.29573296,2,"Not Unique"
"6634",2015-08-21,"624","A",-1.39,110.099,319.8,282.2,456,16.2,60,"0","2015",70724,399766.047589863,9846343.29573296,2,"Not Unique"
"3093",2009-07-29,"1448","T",-1.387,110.099,313.9,290.7,1169,30.1,88,"0","2009",70725,399765.921209657,9846674.9301775,2,"Unique"
"6546",2015-08-18,"258","T",-1.387,110.099,322.4,301.8,407,14.7,48,"0","2015",70725,399765.921209657,9846674.9301775,2,"Unique"
"914",2003-08-24,"1818","A",-1.898,110.1,302.9,292,887,5.1,52,"0","2003",70765,399902.613395274,9790186.45436321,2,"Unique"
"1122",2004-08-19,"1814","A",-1.898,110.1,308.5,284.5,729,9,75,"0","2004",70765,399902.613395274,9790186.45436321,2,"Unique"
"4607",2012-06-22,"1815","A",-1.897,110.1,307.2,291.5,727,7.2,71,"0","2012",70766,399902.555894127,9790296.99969884,2,"Unique"
"5611",2014-09-09,"1512","T",-1.897,110.1,307.1,292.6,626,6.2,70,"0","2014",70766,399902.555894127,9790296.99969884,2,"Unique"
"1156",2004-08-21,"539","A",-1.882,110.1,319.2,290.5,1303,63.1,73,"0","2004",70771,399901.697012118,9791955.17958368,2,"Unique"
"3477",2009-09-03,"341","T",-1.882,110.1,310.2,277.2,1283,35.7,26,"0","2009",70771,399901.697012118,9791955.17958368,2,"Unique"
"664",2002-09-17,"1507","T",-1.746,110.1,317.7,294.5,782,12.8,56,"0","2002",70781,399894.22087514,9806989.33140878,3,"Unique"
"5086",2012-10-03,"559","A",-1.746,110.1,327.9,301.8,1072,29.7,73,"0","2012",70781,399894.22087514,9806989.33140878,3,"Unique"
"5868",2014-09-23,"304","T",-1.746,110.1,358.9,301.3,555,73.5,99,"0","2014",70781,399894.22087514,9806989.33140878,3,"Unique"
"429",2002-09-04,"1538","T",-1.738,110.1,310.5,288.9,132,31.3,80,"0","2002",70783,399893.798552264,9807873.69260174,2,"Not Unique"
"446",2002-09-04,"609","A",-1.738,110.1,336.1,296.9,797,30.6,77,"0","2002",70783,399893.798552264,9807873.69260174,2,"Not Unique"
"65",2002-07-27,"604","A",-1.732,110.1,356.6,290.3,943,96,98,"0","2002",70785,399893.483082527,9808536.96344833,2,"Unique"
"1816",2006-08-19,"334","T",-1.732,110.1,313.7,297.8,1219,24.4,68,"0","2006",70785,399893.483082527,9808536.96344833,2,"Unique"
"4191",2011-02-08,"618","A",-1.79,110.101,318.1,294.3,615,8.4,72,"0","2011",70858,400007.813510125,9802125.39807458,2,"Unique"
"6846",2015-09-03,"258","T",-1.79,110.101,320,297.8,410,10,42,"0","2015",70858,400007.813510125,9802125.39807458,2,"Unique"
"4412",2011-08-26,"623","A",-1.764,110.101,323.2,303.2,466,14.2,52,"0","2011",70860,400006.414948309,9804999.57221618,2,"Unique"
"4577",2011-11-20,"251","T",-1.764,110.101,309.9,287.3,273,7,28,"0","2011",70860,400006.414948309,9804999.57221618,2,"Unique"
"484",2002-09-10,"1501","T",-1.741,110.101,313.3,291.5,938,13.8,49,"0","2002",70867,400005.194811444,9807542.11022429,2,"Unique"
"3625",2009-09-07,"316","T",-1.741,110.101,328.6,302.5,885,23.1,72,"0","2009",70867,400005.194811444,9807542.11022429,2,"Unique"
"608",2002-09-12,"1449","T",-1.735,110.101,304.8,286.8,1166,12.8,23,"0","2002",70869,400004.879147657,9808205.38090884,2,"Unique"
"6316",2014-10-08,"1442","T",-1.735,110.101,304.1,291.8,1245,16.5,58,"0","2014",70869,400004.879147657,9808205.38090884,2,"Unique"
"4731",2012-08-08,"648","A",-1.449,110.101,326.6,294.8,68,93.6,60,"0","2012",70873,399991.096187432,9839821.23834802,2,"Unique"
"6810",2015-09-01,"1531","T",-1.449,110.101,321.2,293.6,210,40.6,100,"0","2015",70873,399991.096187432,9839821.23834802,2,"Unique"
"3318",2009-08-22,"615","A",-1.415,110.101,317.7,297.9,783,7.8,51,"0","2009",70875,399989.622294956,9843579.76135659,2,"Not Unique"
"3851",2009-09-11,"550","A",-1.415,110.101,320.3,293,1241,44.1,59,"0","2009",70875,399989.622294956,9843579.76135659,2,"Not Unique"
"2921",2008-07-06,"548","A",-1.395,110.101,306.7,290.6,1241,12.3,41,"0","2008",70878,399988.771643243,9845790.65673853,2,"Unique"
"3738",2009-09-07,"615","A",-1.395,110.101,351.2,308.8,779,54.3,96,"0","2009",70878,399988.771643243,9845790.65673853,2,"Unique"
"2959",2008-08-07,"548","A",-1.388,110.101,333.3,291.8,1241,109.5,66,"0","2008",70881,399988.476775343,9846564.47003501,3,"Unique"
"3156",2009-08-01,"557","A",-1.388,110.101,325.5,287.4,1168,50.8,66,"0","2009",70881,399988.476775343,9846564.47003501,3,"Not Unique"
"3206",2009-08-04,"627","A",-1.388,110.101,334.6,297.5,458,32.3,75,"0","2009",70881,399988.476775343,9846564.47003501,3,"Not Unique"
"5489",2014-07-30,"553","A",-1.903,110.102,321.7,289,1171,37.5,67,"0","2014",70930,400125.357670171,9789633.84358522,2,"Unique"
"5913",2014-09-23,"559","A",-1.903,110.102,327.3,300.1,1071,26,59,"0","2014",70930,400125.357670171,9789633.84358522,2,"Unique"
"968",2003-09-09,"556","A",-1.901,110.102,312.6,289.6,1070,10.1,36,"0","2003",70932,400125.242651511,9789854.9341461,2,"Unique"
"1090",2004-08-19,"1517","T",-1.901,110.102,317.7,294.3,464,16.9,95,"0","2004",70932,400125.242651511,9789854.9341461,2,"Unique"
"1154",2004-08-21,"245","T",-1.897,110.102,310.3,288.7,184,13.6,33,"0","2004",70935,400125.012976902,9790297.11525285,2,"Not Unique"
"1209",2004-08-23,"1749","A",-1.897,110.102,304.6,290.5,183,13.9,61,"0","2004",70935,400125.012976902,9790297.11525285,2,"Not Unique"
"153",2002-08-19,"609","A",-1.883,110.102,332.8,309.6,803,19.6,32,"0","2002",70939,400124.212924235,9791844.74896917,2,"Unique"
"1767",2006-08-16,"559","A",-1.883,110.102,344.9,307.5,1067,67.8,93,"0","2006",70939,400124.212924235,9791844.74896917,2,"Unique"
"3115",2009-07-30,"609","A",-1.805,110.102,322.9,302.7,947,15.6,53,"0","2009",70942,400119.863940421,9800467.27527126,2,"Not Unique"
