YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
2005	.325	.816	1.057	.637	.893	.612	.519	.362	.329	-.152	-.374	-.55
2006	-.428	-.414	-.521	-.575	.043	.546	.718	.77	.84	.976	1.297	.965
2007	.985	.537	.125	.02	.354	-.136	-.247	-.427	-1.175	-1.204	-1.149	-1.178
2008	-1.006	-1.371	-1.552	-.879	-.349	.164	.089	-.252	-.545	-.681	-.584	-.646
2009	-.714	-.69	-.705	-.105	.328	.779	1.06	1.073	.745	.924	1.134	1.059
2010	1.066	1.526	1.462	.99	.668	-.211	-1.099	-1.662	-1.86	-1.888	-1.472	-1.558
2011	-1.719	-1.544	-1.554	-1.399	-.202	.016	-.191	-.502	-.751	-.917	-.933	-.945
2012	-.98	-.675	-.382	.112	.769	.866	1.128	.628	.351	.097	.141	.111
2013	.103	-.068	-.026	.095	.203	-.078	-.311	-.466	-.125	.148	-.042	-.234
2014	-.27	-.259	.018	.312	1.01	1.057	.921	.961	.593	.45	.773	.566
2015	.417	.464	.614	.943	1.592	2.101	1.987	2.365	2.532	2.256	2.3	2.12
2016	2.216	2.17	1.963	2.124	1.77	1.069	.354	.186	-.091	-.363	-.197	-.11
2017	-.052	-.043	-.08	.77	1.455	1.049	.461	.027	-.449	-.551	-.277	-.576
2018	-.623	-.731	-.502	
