"Date","Total_FRP"
2008-08-01,486
2008-08-03,127.9
2008-08-05,30.5
2008-08-06,154.4
2008-08-07,233.3
2008-08-12,6.3
2008-08-13,34.1
2008-08-16,27.8
2008-08-17,45.1
2008-08-21,447.6
2008-09-20,36
2008-09-24,34.6
2008-09-25,26.1
2008-09-27,3.3
2008-09-29,5811.2
2008-09-30,1598.2
2008-10-29,35.6
2008-11-05,69.8
2008-11-23,11.3
2009-02-09,18.5
2009-02-11,4.4
2009-02-13,43.6
2009-02-14,100.9
2009-02-16,80.2
2009-03-08,6.8
2009-03-19,32.4
2009-04-03,23.8
2009-06-17,28.2
2009-06-19,29.3
2009-06-21,32.2
2009-06-24,12.2
2009-06-26,29.5
2009-06-28,17.9
2009-07-05,23.7
2009-07-11,717.4
2009-07-12,37.4
2009-07-16,101.9
2009-07-17,36.6
2009-07-21,550
2009-07-23,303
2009-07-28,321
2009-07-29,334.5
2009-07-30,2752.6
2009-07-31,428.6
2009-08-01,643.1
2009-08-02,225.3
2009-08-03,1375.4
2009-08-04,406.8
2009-08-05,21.2
2009-08-06,666
2009-08-07,186.3
2009-08-08,591.6
2009-08-09,29
2009-08-10,484.3
2009-08-13,20.9
2009-08-14,24.9
2009-08-20,15.7
2009-08-22,165
2009-08-23,99.7
2009-08-24,306.8
2009-08-27,285
2009-08-28,3847.1
2009-08-29,9029.1
2009-08-30,461.2
2009-08-31,1671.6
2009-09-01,554.5
2009-09-02,3253.4
2009-09-03,1277.9
2009-09-04,146.8
2009-09-05,1675.4
2009-09-06,7101.4
2009-09-07,13287.1
2009-09-08,4614.4
2009-09-09,1240
2009-09-10,2517.8
2009-09-11,892.3
2009-09-12,448.9
2009-09-13,250.9
2009-09-14,83.5
2009-09-18,11.6
2009-09-20,3.2
2009-09-22,62.5
2009-09-23,715.2
2009-09-24,483.6
2009-09-25,440.6
2009-09-27,3067.8
2009-09-28,2509
2009-09-29,3385.7
2009-09-30,1305.8
2009-10-01,2704.6
2009-10-09,4.9
2009-10-18,15.7
2009-10-20,9.7
2009-10-25,5.6
2009-12-21,8.5
2010-01-28,28.5
2010-02-28,20
2010-03-02,5.8
2010-04-12,7
2010-04-21,10.8
2010-07-08,4
2010-07-10,15.2
2010-10-12,17.1
2010-10-21,8.5
2010-10-23,4.3
2010-11-04,7.4
2010-12-31,22.3
2011-01-07,16.5
2011-01-20,9.1
2011-01-21,246.4
2011-02-08,8.4
2011-02-13,28.1
2011-03-03,6.7
2011-03-05,11.2
2011-05-05,21.4
2011-05-06,69.6
2011-05-10,21.9
2011-05-13,25.5
2011-05-17,11.1
2011-05-24,7.1
2011-06-14,11.7
2011-06-20,103.1
2011-06-21,21
2011-06-23,25.2
2011-06-24,79.7
2011-06-25,410.8
2011-06-26,210.4
2011-06-27,10.1
2011-07-04,9
2011-07-09,41.1
2011-07-11,8.4
2011-07-13,24.9
2011-07-26,12.3
2011-07-27,24
2011-07-29,178.3
2011-07-30,70.2
2011-07-31,130.2
2011-08-01,15.7
2011-08-03,170.4
2011-08-05,111.3
2011-08-06,134.1
